ID,Stat,StatName,Level,StatValue,CoinValue
1,ATK,공격,0,10,0
2,ATK,공격,1,20,100
3,ATK,공격,2,30,200
4,ATK,공격,3,40,400
5,ATK,공격,4,50,800
6,ATK,공격,5,60,1600
7,HP,체력,0,50,0
8,HP,체력,1,60,100
9,HP,체력,2,70,200
10,HP,체력,3,80,400
11,HP,체력,4,90,800
12,HP,체력,5,100,1600
13,Radius,자석범위,0,3,0
14,Radius,자석범위,1,4,100
15,Radius,자석범위,2,5,200
16,Radius,자석범위,3,6,400
17,Radius,자석범위,4,7,800
18,Radius,자석범위,5,8,1600
19,MoveSpeed,이동속도,0,6,0
20,MoveSpeed,이동속도,1,6.5,100
21,MoveSpeed,이동속도,2,7,200
22,MoveSpeed,이동속도,3,7.5,400
23,MoveSpeed,이동속도,4,8,800
24,MoveSpeed,이동속도,5,8.5,1600
25,ATKSpeed,공격속도,0,1,0
26,ATKSpeed,공격속도,1,0.9,100
27,ATKSpeed,공격속도,2,0.8,200
28,ATKSpeed,공격속도,3,0.7,400
29,ATKSpeed,공격속도,4,0.6,800
30,ATKSpeed,공격속도,5,0.5,1600
31,CRI,치명타확률,0,0,0
32,CRI,치명타확률,1,1000,100
33,CRI,치명타확률,2,2000,200
34,CRI,치명타확률,3,3000,400
35,CRI,치명타확률,4,4000,800
36,CRI,치명타확률,5,5000,1600
37,Revival,부활,0,0,0
38,Revival,부활,1,1,100
39,Revival,부활,2,1,200
40,Revival,부활,3,2,400
41,Revival,부활,4,2,800
42,Revival,부활,5,3,1600
